nom,codeCommune,nomCommune,cp,designationAPE,designationEPRTR
CHIMIREC,93030,Dugny,93440,Collecte des déchets dangereux,5.(a),Installations pour la valorisation ou l'élimination des déchets dangereux recevant 10 tonnes par jour
AIRBUS HELICOPTERS,93027,La Courneuve,93120,Construction aéronautique et spatiale,2.(f),Installations de traitement de surface de métaux et des matières plastiques utilisant un procédé électrolytique ou chimique lorsque le volume des cuves affectées au traitement est égal à 30 m3
SNEM,93048,Montreuil,93100,Traitement et revêtement des métaux,,
SITREM,93053,Noisy-le-Sec,93130,Traitement et élimination des déchets dangereux,5.(a),Installations pour la valorisation ou l'élimination des déchets dangereux recevant 10 tonnes par jour
PROTECTION DES METAUX,93053,Noisy-le-Sec,93130,Traitement et revêtement des métaux,2.(f),Installations de traitement de surface de métaux et des matières plastiques utilisant un procédé électrolytique ou chimique lorsque le volume des cuves affectées au traitement est égal à 30 m3
BIOCITECH IMMOBILIER SAS / Parc BIOCITECH,93063,Romainville,93230,Location de terrains et d'autres biens immobiliers,,
PSA PEUGEOT CITROEN,93070,Saint-Ouen,93582,"Découpage, emboutissage",,
RENAULT CHOISY LE ROI,94022,Choisy-le-Roi,94607,Construction de véhicules automobiles,,
RATP - ATELIERS DE FONTENAY,94033,Fontenay-sous-Bois,94120,Transport ferroviaire interurbain de voyageurs,,
RATP,94071,Sucy-en-Brie,94370,Transports urbains et suburbains de voyageurs,,
SNCF-TSEE,94078,Villeneuve-Saint-Georges,94190,Transport ferroviaire interurbain de voyageurs,,
SNCF MOBILITES Technicentre Paris Rive Gauche - Site des Ardoines,94081,Vitry-sur-Seine,94400,Réparation et maintenance d'autres équipements de transport,,
SERVIER (Institut de Recherches),78190,Croissy-sur-Seine,78290,Recherche-développement en autres sciences physiques et naturelles,,
EUROSTAR Engineering plastics,95250,Fosses,95470,Fabrication de matières plastiques de base,,
LABORATOIRE PRODENE KLINT,77294,Mitry-Mory,77290,"Fabrication de savons, détergents et produits d'entretien",4.(a).(xi),tensioactifs et agents de surface
ELIS TRAPPES,78621,Trappes,78194,Location et location-bail d'autres biens personnels et domestiques,,
SAFETY KLEEN FRANCE,78168,Coignières,78310,Commerce de gros (commerce interentreprises) de fournitures et équipements industriels divers,5.(a),Installations pour la valorisation ou l'élimination des déchets dangereux recevant 10 tonnes par jour
COSSON,95214,Épinay-Champlâtreux,95270,Travaux de terrassement spécialisés ou de grande masse,5.(d),"Décharges, à l'exception des décharges de déchets inertes et des décharges qui ont été définitivement fermées avant le 16 juillet 2001 ou dont la phase de gestion après désaffection requise par les autorités compétentes conformément à l'article 13 de la directive 1999/31/CE du Conseil du 26 avril 1999 concernant la mise en décharge des déchets s'est achevée recevant 10 tonnes par jour ou d'une capacité totale de 25 000 tonnes"
TOBLER SAS,95351,Louvres,95380,Fabrication d'autres machines-outils,,
LOVETRA,95572,Saint-Ouen-l'Aumône,95310,Location et location-bail d'autres biens personnels et domestiques,,
SAFRAN Electronics & Defense,78362,Mantes-la-Ville,78711,Fabrication d'équipements d'aide à la navigation,,
ArcelorMittal Centres de Services,95116,Bruyères-sur-Oise,95820,"Découpage, emboutissage",,
SANELIS VEXIN,95572,Saint-Ouen-l'Aumône,95310,Location et location-bail d'autres biens personnels et domestiques,,
LABORATOIRE PRODENE KLINT,77146,Croissy-Beaubourg,77183,"Fabrication de savons, détergents et produits d'entretien",4.(a).(xi),tensioactifs et agents de surface
RATP ATELIERS MRF DE MASSY,91477,Palaiseau,91120,Transports urbains et suburbains de voyageurs,,
COMPAGNIE GENERALE DES INSECTICIDES,95572,Saint-Ouen-l'Aumône,95310,Fabrication de pesticides et d'autres produits agrochimiques,4.(d),Installations chimiques destinées à la fabrication industrielle de produits phytosanitaires et de biocides
SEMAVERT - ISDND,91648,Vert-le-Grand,91810,Traitement et élimination des déchets non dangereux,5.(d),"Décharges, à l'exception des décharges de déchets inertes et des décharges qui ont été définitivement fermées avant le 16 juillet 2001 ou dont la phase de gestion après désaffection requise par les autorités compétentes conformément à l'article 13 de la directive 1999/31/CE du Conseil du 26 avril 1999 concernant la mise en décharge des déchets s'est achevée recevant 10 tonnes par jour ou d'une capacité totale de 25 000 tonnes"
IRIS,30305,Salindres,30340,Autres activités de soutien aux entreprises n.c.a.,,
SOBAT,34032,Béziers,34500,Fabrication d'autres articles métalliques,2.(f),Installations de traitement de surface de métaux et des matières plastiques utilisant un procédé électrolytique ou chimique lorsque le volume des cuves affectées au traitement est égal à 30 m3
Sanofi Aventis Recherche et Développement,34172,Montpellier,34184,Recherche-développement en autres sciences physiques et naturelles,,
CARTE NOIRE OPERATIONS SAS,34134,Lavérune,34880,Transformation du thé et du café,,
ASKLE SANTE,30189,Nîmes,30034,Fabrication de matériel médico-chirurgical et dentaire,4.(a).(viii),"matières plastiques de base (polymères, fibres synthétiques, fibres à base de cellulose)"
PROFILS SYSTEMES,34022,Baillargues,34670,Métallurgie de l'aluminium,2.(f),Installations de traitement de surface de métaux et des matières plastiques utilisant un procédé électrolytique ou chimique lorsque le volume des cuves affectées au traitement est égal à 30 m3
FERTISUD,30034,Bellegarde,30127,Traitement et élimination des déchets non dangereux,,
SPITZER EUROVRAC,67218,Illkirch-Graffenstaden,67412,Fabrication de carrosseries et remorques,,
TIMMEL FRERES SAS,67025,Beinheim,67930,Autres activités de nettoyage n.c.a.,,
TREFIMETAUX Etablissement de Niederbruck,68233,Niederbruck,68290,Métallurgie du cuivre,,
RPC TEDECO GIZEH,67061,Bouxwiller,67330,Fabrication d'emballages en matières plastiques,,
ArcelorMittal Centres de Services,68253,Ottmarsheim,68490,"Découpage, emboutissage",,
LINGENHELD ENVIRONNEMENT,67350,Oberschaeffolsheim,67203,Récupération de déchets triés,5.(a),Installations pour la valorisation ou l'élimination des déchets dangereux recevant 10 tonnes par jour
MERCEDES-BENZ MOLSHEIM,67300,Molsheim,67129,Fabrication de carrosseries et remorques,,
Polypeptide Laboratories France,67482,Strasbourg,67100,Fabrication d'autres produits chimiques organiques de base,,
FLENDER GRAFFENSTADEN,67218,Illkirch-Graffenstaden,67400,Fabrication d'engrenages et d'organes mécaniques de transmission,,
WURTH (site d'exploitation),67130,Erstein,67150,Commerce de gros (commerce interentreprises) de quincaillerie,,
Everad Adhesives (anct. Collano Adhesives),67282,Marlenheim,67520,Fabrication de colles,,
SAFETYKLEEN,67216,Huttenheim,67230,Commerce de gros (commerce interentreprises) de fournitures et équipements industriels divers,,
QUIRI & CIE,67112,Duttlenheim,67120,Fabrication de matériel de levage et de manutention,,
FM LOGISTIC,67067,Brumath,67170,Entreposage et stockage non frigorifique,,
TRUMPF MACHINES Haguenau,67180,Haguenau,67500,Fabrication de machines-outils pour le travail des métaux,,
SUEZ RR IWS CHEMICALS FRANCE,67194,Herrlisheim,67850,Collecte des déchets dangereux,5.(a),Installations pour la valorisation ou l'élimination des déchets dangereux recevant 10 tonnes par jour
INTERPOLYMER,67544,Wissembourg,67160,Fabrication de matières plastiques de base,,
Burstner SA,67544,Wissembourg,67160,Fabrication de carrosseries et remorques,,
HUSSOR,68175,Lapoutroie,68650,Fabrication de structures métalliques et de parties de structures,,
CSP Technologies,67324,Niederbronn-les-Bains,67110,Fabrication d'emballages en matières plastiques,,
ISDND de Wintzenbach-Schaffhouse près seltz,67541,Wintzenbach,67470,"Administration publique (tutelle) de la santé, de la formation, de la culture et des services sociaux, autre que sécurité sociale",5.(d),"Décharges, à l'exception des décharges de déchets inertes et des décharges qui ont été définitivement fermées avant le 16 juillet 2001 ou dont la phase de gestion après désaffection requise par les autorités compétentes conformément à l'article 13 de la directive 1999/31/CE du Conseil du 26 avril 1999 concernant la mise en décharge des déchets s'est achevée recevant 10 tonnes par jour ou d'une capacité totale de 25 000 tonnes"
Seco-EPB,67061,Bouxwiller,67330,Fabrication de machines-outils pour le travail des métaux,,
GPV France Site de Saint Amarin,68292,Saint-Amarin,68550,Fabrication d'articles de papeterie,,
TOLERIE EMAILLERIE HILD SAS,68157,Jebsheim,68320,Fabrication d'autres articles métalliques,,
BIEBER Industrie Usine III,67105,Drulingen,67320,Fabrication de structures métalliques et de parties de structures,,
DGC DEPOLLUTION,32107,Condom,32100,Dépollution et autres services de gestion des déchets,,
Eternit France- Usine de Terssac,81297,Terssac,81150,Fabrication d'ouvrages en fibre-ciment,,
Veolia Eau - Compagnie Générale des Eaux - Unité d'incinération de boues,31555,Toulouse,31200,Collecte et traitement des eaux usées,,
TOTAL MARKETING France - Dépôt de Lespinasse,31293,Lespinasse,31150,Entreposage et stockage non frigorifique,,
ANTARGAZ FINAGAZ,31182,Fenouillet,31150,Commerce de gros (commerce interentreprises) de combustibles et de produits annexes,,
Triadis Services-Toulouse,31467,Saint-Alban,31140,Collecte des déchets dangereux,5.(a),Installations pour la valorisation ou l'élimination des déchets dangereux recevant 10 tonnes par jour
ROZIERE,12033,Bozouls,12340,Fabrication de charpentes et d'autres menuiseries,,
Aludium,82033,Castelsarrasin,82100,Sidérurgie,2.(f),Installations de traitement de surface de métaux et des matières plastiques utilisant un procédé électrolytique ou chimique lorsque le volume des cuves affectées au traitement est égal à 30 m3
NELTEC SA,65258,Lannemezan,65300,Fabrication de cartes électroniques assemblées,,
SAICA NATUR SUD,09289,Lorp-Sentaraille,09190,Récupération de déchets triés,,
TOTAL MARKETING FRANCE,31555,Toulouse,31060,Commerce de détail de carburants en magasin spécialisé,,
SORAR,09306,Tarascon-sur-Ariège,09400,Récupération de déchets triés,,
FONDERIES DECHAUMONT,31395,Muret,31605,Fonderie de fonte,2.(d),Fonderies de métaux ferreux d'une capacité de productionde 20 tonnes par jour
SASCA Toulouse,31069,Blagnac,31700,Entreposage et stockage non frigorifique,,
Château du Tariquet,32119,Eauze,32800,Culture de la vigne,,
FIN'TECH INDUSTRIE,81004,Albi,81000,Traitement et revêtement des métaux,,
NOUVELLE FONDERIE GILLET INDUSTRIES,81004,Albi,81000,Fonderie de métaux légers,,
Robert BOSCH SAS Rodez,12176,Onet-le-Château,12850,Fabrication d'autres équipements automobiles,,
MAJ ELIS MIDI PYRENEES,31555,Toulouse,31000,Location et location-bail d'autres biens personnels et domestiques,,
REGIE DES EAUX -GRAULHET,81105,Graulhet,81300,Collecte et traitement des eaux usées,5.(g),"Installations autonomes de traitement des eaux industrielles usées provenant d'une ou de plusieurs des activités énumérées dans la présente annexe d'une capacité de 10 000 m3 par jour "
ISDND de Debat,82150,Reyniès,82370,Traitement et élimination des déchets non dangereux,5.(d),"Décharges, à l'exception des décharges de déchets inertes et des décharges qui ont été définitivement fermées avant le 16 juillet 2001 ou dont la phase de gestion après désaffection requise par les autorités compétentes conformément à l'article 13 de la directive 1999/31/CE du Conseil du 26 avril 1999 concernant la mise en décharge des déchets s'est achevée recevant 10 tonnes par jour ou d'une capacité totale de 25 000 tonnes"
SARA Dégrad des Cannes,97309,REMIRE-MONTJOLY,97354,Entreposage et stockage non frigorifique,,
REGULUS,97304,KOUROU,97372,Fabrication de produits explosifs,4.(f),Installations destinées à la fabrication industrielle d'explosifs et de produits pyrotechniques
SARA KOUROU,97304,KOUROU,97310,Entreposage et stockage non frigorifique,,
SAS Stinkal,62329,Ferques,62250,"Exploitation de gravières et sablières, extraction d'argiles et de kaolin",3.(b),Extraction à ciel ouvert et exploitation en carrière lorsque la surperficie du site où sont effectuées des opérations d'extraction est égale à 25 hectares
NORD HELIO SERVICE,62563,Mazingarbe,62670,Activités de pré-presse,2.(f),Installations de traitement de surface de métaux et des matières plastiques utilisant un procédé électrolytique ou chimique lorsque le volume des cuves affectées au traitement est égal à 30 m3
FINIMETAL,62128,Biache-Saint-Vaast,62118,Fabrication de radiateurs et de chaudières pour le chauffage central,,
P. BRABANT S.A.,59602,Tressin,59152,Fabrication d'autres produits chimiques n.c.a.,5.(a),Installations pour la valorisation ou l'élimination des déchets dangereux recevant 10 tonnes par jour
BIGARD,62767,Saint-Pol-sur-Ternoise,62166,Transformation et conservation de la viande de boucherie,8.(a),Abattoirs d'une capacité de production de 50 tonnes de carcasses par jour
AIR LIQUIDE ETABLISSEMENT NATIONAL DE DENAIN,59172,Denain,59721,Fabrication de gaz industriels,,
ENGIE Thermique France - Centrale DK6,59183,Dunkerque,59951,Production d'électricité,1.(c),Centrales thermiques et autres installations de combustion avec un apport thermiques de 50 MW
IMPERATOR,59044,Baisieux,59780,Raffinage du pétrole,,
SUEZ RV OSIS NORD - ROSULT,59511,Rosult,59230,Collecte et traitement des eaux usées,,
MALAQUIN SAS,59526,Saint-Amand-les-Eaux,59230,Traitement et élimination des déchets non dangereux,,
Saint Gobain Sekurit,59008,Aniche,59580,Façonnage et transformation du verre plat,3.(e),"Installations destinées à la fabrication du verre, y compris de fibres de verre d'une capacité de fusion de 20 tonnes par jour"
VERDURE,62470,Incourt,62770,Traitement et élimination des déchets non dangereux,,
SIB IMPRIMERIE,62755,Saint-Léonard,62360,Autre imprimerie (labeur),9.(c),"Installations destinées au traitement de surface de matières, d'objets ou de produits à l'aide de solvants organiques, notamment pour les opérations d'apprêt, d'impression, de revêtement, de dégraissage, d'imperméabilisation, de collage, de peinture, de nettoyage ou d'imprégnation d'une capacité de consommation de 150 kg par heures ou 200 tonnes par an"
